# Generated by make_crust_compositions.jl -- do not edit by hand.
# isobaric 1.0 GPa, F_TARGET=0.2, batch melting
# delta_iw is the CORE-FORMATION fO2, which sets mantle FeO.
# T_melt is the melting temperature at that pressure, NOT a potential temperature.
mg_si,delta_iw,mantle_feo,T_melt,melt_fraction,residual_phases,SiO2,TiO2,Al2O3,Cr2O3,FeO,MgO,CaO,Na2O,K2O,CaO_Al2O3
1.35,-2.6,4.0858,1343,0.200541,opx;spl;ol;cpx,48.6029,0.962136,16.7584,0.137123,4.02258,13.6395,13.9039,1.82262,0.150875,0.8297
1.35,-2.5,4.5772,1340,0.199672,ol;cpx;opx;spl,48.4428,0.961227,16.762,0.131787,4.45366,13.454,13.8255,1.81875,0.150343,0.8248
1.35,-2.4,5.1268,1337,0.199667,opx;ol;cpx;spl,48.2784,0.953542,16.7391,0.12683,4.9358,13.262,13.746,1.80884,0.149523,0.8212
1.35,-2.3,5.7411,1334,0.200496,cpx;opx;spl;ol,48.102,0.947792,16.6927,0.122186,5.46338,13.0662,13.6671,1.79093,0.147733,0.8187
1.35,-2.2,6.4276,1330,0.20055,opx;ol;spl;cpx,47.9031,0.937621,16.6731,0.116354,6.03035,12.8398,13.576,1.77684,0.146889,0.8142
1.35,-2.1,7.1942,1326,0.199898,cpx;spl;ol;opx,47.6798,0.932939,16.6688,0.10964,6.64343,12.5826,13.4696,1.767,0.146191,0.8081
1.35,-2,8.0500,1321,0.200288,spl;ol;opx;cpx,47.4467,0.921863,16.6428,0.103262,7.30617,12.3208,13.3659,1.74847,0.143997,0.8031
1.35,-1.9,9.0046,1316,0.200136,ol;opx;cpx;spl,47.1827,0.912706,16.6378,0.095972,8.01697,12.0302,13.2518,1.72953,0.142224,0.7965
1.35,-1.8,10.0688,1310,0.199501,ol;spl;cpx;opx,46.8966,0.90437,16.6481,0.0880208,8.77489,11.7091,13.1241,1.71381,0.14097,0.7883
1.35,-1.7,11.2542,1305,0.200113,cpx;spl;opx;ol,46.5989,0.889476,16.6408,0.0804821,9.57841,11.3844,13.0009,1.68781,0.138839,0.7813
1.35,-1.6,12.5736,1298,0.200358,cpx;opx;spl;ol,46.2708,0.875595,16.6483,0.0723784,10.4385,11.0299,12.8675,1.6602,0.136794,0.7729
1.35,-1.5,14.0405,1293,0.200758,spl;cpx;ol,45.4737,0.884946,16.5927,0.064976,11.4383,10.6202,13.147,1.64434,0.133859,0.7923
1.35,-1.4,15.6699,1288,0.200081,ol;cpx;spl,44.1756,0.905839,16.3046,0.0560443,12.6189,10.1334,14.0302,1.64292,0.132497,0.8605
1.35,-1.3,17.4776,1336,0.19998,ol;spl,42.4973,0.893807,14.3644,0.0480532,15.6395,10.832,13.9778,1.61742,0.129671,0.9731
1.35,-1.2,19.4805,1441,0.200071,spl;ol,41.6245,0.749678,9.19777,0.0374025,21.1311,13.1582,12.3947,1.57944,0.127219,1.3476
1.35,-1.1,21.6965,1454,0.200022,spl;ol;fper,41.3749,0.690761,8.46938,0.0364178,22.398,13.4451,11.9253,1.53606,0.124194,1.4080
