Instellation,P_background (bar),P_H2O (bar),P_CO2 (bar),Surface Albedo,Bond Albedo,Recirculation Factor,Surface Temperature (K)
0.4,1.0,1.0,1.0,0.05,0.3,0.25,342.9053011596895
0.5,1.0,1e-06,1.0,0.05,0.3,0.25,229.55246229248468
0.5,1.0,1e-05,1e-06,0.05,0.3,0.25,213.44337887976752
0.5,1.0,1e-06,0.1,0.05,0.3,0.25,221.71788485387498
0.4,1.0,10.0,1e-05,0.05,0.3,0.25,420.1957178641624
0.5,1.0,1e-05,1e-05,0.05,0.3,0.25,215.33007488792637
0.5,1.0,1e-05,0.01,0.05,0.3,0.25,222.8327048854212
0.5,1.0,1e-05,0.0001,0.05,0.3,0.25,217.53025289622266
0.5,1.0,1e-05,0.001,0.05,0.3,0.25,220.1965362301158
0.4,1.0,10.0,0.1,0.05,0.3,0.25,450.15074028754356
0.5,1.0,0.0001,1e-06,0.05,0.3,0.25,219.3771603065993
0.5,1.0,1e-05,1.0,0.05,0.3,0.25,235.87762097728546
0.5,1.0,0.0001,1e-05,0.05,0.3,0.25,221.56092383292585
0.5,1.0,0.0001,1.0,0.05,0.3,0.25,248.5926894669268
0.5,1.0,0.0001,0.01,0.05,0.3,0.25,230.43128687413963
0.5,1.0,0.0001,0.001,0.05,0.3,0.25,227.26165260177407
0.5,1.0,0.0001,0.0001,0.05,0.3,0.25,224.13793373394796
0.5,1.0,1e-05,10.0,0.05,0.3,0.25,232.2216955245582
0.5,1.0,0.0001,0.1,0.05,0.3,0.25,235.12905538543774
0.5,1.0,1e-05,0.1,0.05,0.3,0.25,226.47762173277383
0.5,1.0,0.001,1e-06,0.05,0.3,0.25,228.0546859242331
0.5,1.0,0.0001,10.0,0.05,0.3,0.25,239.48981073498032
0.5,1.0,0.001,1e-05,0.05,0.3,0.25,230.6516519603678
0.5,1.0,0.001,10.0,0.05,0.3,0.25,253.43620514493244
0.5,1.0,0.001,1.0,0.05,0.3,0.25,266.8392985229669
0.5,1.0,0.001,0.1,0.05,0.3,0.25,247.98716593282998
0.5,1.0,0.001,0.001,0.05,0.3,0.25,237.6177716793073
0.5,1.0,0.001,0.0001,0.05,0.3,0.25,233.79679629873215
0.5,1.0,0.01,0.001,0.05,0.3,0.25,251.07638886622988
0.5,1.0,0.01,1e-06,0.05,0.3,0.25,239.90772401234042
0.5,1.0,0.01,0.0001,0.05,0.3,0.25,246.54255912514247
0.5,1.0,0.001,0.01,0.05,0.3,0.25,241.6377721193799
0.5,1.0,0.01,1e-05,0.05,0.3,0.25,242.83178719819614
0.5,1.0,0.01,0.1,0.05,0.3,0.25,264.6539906248576
0.5,1.0,0.01,10.0,0.05,0.3,0.25,272.3462588532067
0.5,1.0,0.1,0.0001,0.05,0.3,0.25,261.23585317927035
0.5,1.0,0.01,0.01,0.05,0.3,0.25,256.1299308045328
0.5,1.0,0.1,0.01,0.05,0.3,0.25,271.17305454611136
0.5,1.0,0.01,1.0,0.05,0.3,0.25,287.48692197027316
0.5,1.0,0.1,0.001,0.05,0.3,0.25,265.5693355027898
0.5,1.0,0.1,1e-05,0.05,0.3,0.25,257.9342495692172
0.5,1.0,0.1,1e-06,0.05,0.3,0.25,255.73720584567587
0.5,1.0,1.0,1e-05,0.05,0.3,0.25,293.64571508403037
